Ticker,Date,Broker,Suggestion,Price
vcb,25/11/2024,VND,Mua,109.60
vcb,05/09/2024,VND,Mua,112.80
vcb,25/06/2024,VND,Mua,111.80
vcb,12/04/2024,VND,Mua,118.70
bid,12/12/2024,VND,Giữ,51.10
bid,23/09/2024,VND,Mua,57.60
bid,03/07/2024,VND,Mua,51.60
ctg,21/11/2024,VND,Mua,39.90
ctg,20/08/2024,VND,Mua,39.90
ctg,15/04/2024,VND,Mua,39.50
fpt,03/02/2025,HSC,Mua,160.80
fpt,11/12/2024,VND,Mua,196.60
fpt,04/10/2024,VND,Giữ,145.20
fpt,27/05/2024,VND,Mua,157.30
tcb,06/02/2025,MSGS,Giữ,30.06
tcb,04/12/2024,VND,Mua,31.10
tcb,21/03/2024,VND,Mua,50.60
vhm,18/12/2024,VND,Mua,48.80
vhm,19/09/2024,VND,Mua,52.70
vhm,15/04/2024,VND,Mua,66.40
hpg,05/02/2025,HSC,Mua,36.80
hpg,10/12/2024,VND,Giữ,29.20
hpg,25/09/2024,VND,Mua,30.00
hpg,27/06/2024,VND,Mua,44.00
gas,20/12/2024,VND,Mua,85.00
gas,20/08/2024,VND,Mua,93.50
gas,27/05/2024,VND,Giữ,84.10
gas,07/03/2024,VND,Giữ,83.50
vic,04/02/2025,HSC,Giữ,42.60
vic,22/01/2025,VND,Giữ,45.60
vic,26/08/2024,VND,Giữ,46.60
vpb,24/01/2025,HSC,Mua,23.00
vpb,09/12/2024,VND,Mua,23.50
vpb,25/09/2024,VND,Mua,23.80
vpb,03/06/2024,VND,Mua,24.70
vnm,25/12/2024,VND,Mua,74.80
vnm,08/10/2024,VND,Mua,82.60
vnm,13/05/2024,VND,Mua,81.00
vnm,07/03/2024,VND,Mua,83.90
mbb,26/12/2024,VND,Mua,30.00
mbb,11/10/2024,VND,Mua,31.20
mbb,18/07/2024,VND,Mua,28.40
mbb,21/03/2024,VND,Mua,31.70
gvr,07/10/2024,VCS,Giữ,34.60
acb,12/12/2024,VND,Mua,34.10
acb,28/10/2024,VND,Mua,31.20
acb,17/06/2024,VND,Mua,30.30
msn,04/02/2025,HSC,Mua,97.20
lpb,30/12/2024,VND,Bán,25.50
lpb,21/08/2024,VND,Bán,25.40
lpb,15/05/2024,VND,Mua,23.70
mwg,04/02/2025,HSC,Mua,75.80
mwg,12/12/2024,VND,Mua,77.80
mwg,27/09/2024,VND,Mua,80.40
mwg,30/05/2024,VND,Mua,72.10
stb,03/02/2025,HSC,Mua,41.00
stb,08/10/2024,VND,Mua,41.50
bcm,26/12/2024,VND,Mua,82.80
bcm,23/08/2024,VND,Mua,83.90
sab,04/02/2025,HSC,Mua,68.20
sab,01/10/2024,VND,Giữ,59.90
hdb,05/02/2025,HSC,Mua,27.08
hdb,09/12/2024,VND,Mua,34.90
hdb,22/10/2024,VND,Mua,33.10
hdb,18/06/2024,VND,Mua,29.00
hdb,12/03/2024,VND,Mua,29.70
hvn,06/02/2025,HSC,Mua,34.50
plx,23/01/2025,VND,Mua,46.10
plx,26/09/2024,VND,Mua,56.60
plx,04/07/2024,VND,Mua,47.10
plx,23/02/2024,VND,Giữ,44.30
vjc,07/02/2025,HSC,Giữ,105.00
vjc,26/12/2024,VND,Giữ,113.60
vib,03/02/2025,HSC,Mua,22.10
vib,26/12/2024,VND,Mua,23.60
vib,17/10/2024,VND,Mua,24.80
vib,10/07/2024,VND,Mua,29.60
ssi,24/01/2025,HSC,Mua,29.50
ssi,07/10/2024,VND,Giữ,31.10
ssi,04/06/2024,VND,Giữ,36.50
ssi,23/04/2024,VND,Giữ,36.50
dgc,31/05/2024,VND,Giữ,143.60
vre,25/01/2025,SSI,Mua,25.20
vre,27/11/2024,VND,Mua,21.70
vre,23/09/2024,VND,Mua,23.40
vre,27/06/2024,VND,Mua,29.60
vre,19/03/2024,VND,Mua,33.20
tpb,05/02/2025,SSI,Mua,19.80
tpb,23/12/2024,VND,Mua,21.00
tpb,17/10/2024,VND,Mua,21.00
tpb,11/06/2024,VND,Mua,23.60
tpb,12/03/2024,VND,Mua,26.80
ree,28/11/2024,VND,Giữ,72.90
ree,26/08/2024,VND,Giữ,68.20
ree,25/04/2024,VND,Mua,77.10
pnj,26/01/2025,Jefferies,Mua,127.44
pnj,29/11/2024,VND,Mua,115.10
pnj,21/08/2024,VND,Mua,126.70
pnj,10/04/2024,VND,Mua,114.40
kdh,05/02/2025,HSC,Mua,42.00
kdh,19/12/2024,VND,Mua,41.30
kdh,23/09/2024,VND,Mua,45.80
kdh,03/06/2024,VND,Mua,43.80
pow,17/12/2024,VND,Mua,14.90
pow,24/09/2024,VND,Mua,14.60
pow,29/05/2024,VND,Mua,14.80
frt,03/02/2025,SSI,Mua,215.00
ocb,23/09/2024,VND,Mua,13.40
vgc,06/02/2025,HSC,Mua,54.90
kbc,06/02/2025,HSC,Mua,36.40
kbc,24/12/2024,VND,Giữ,30.00
kbc,03/06/2024,VND,Mua,37.90
hcm,02/12/2024,FSC,Mua,28.52
dcm,04/02/2025,BSI,Mua,41.10
dcm,02/12/2024,VND,Mua,42.70
dcm,05/08/2024,VND,Mua,44.10
gmd,07/02/2025,HSC,Mua,81.80
gmd,25/11/2024,VND,Mua,73.70
gmd,07/03/2024,VND,Mua,90.20
kdc,27/12/2024,SADIF,Bán,51.76
pdr,05/02/2025,HSC,Mua,25.20
vhc,05/02/2025,HSC,Mua,91.60
vhc,09/12/2024,VND,Mua,85.00
vci,24/01/2025,HSC,Giữ,33.80
dpm,03/02/2025,HSC,Mua,41.20
dpm,17/12/2024,VND,Giữ,37.30
dpm,22/08/2024,VND,Giữ,36.80
dpm,28/05/2024,VND,Giữ,38.60
dhg,24/01/2025,HSC,Giữ,101.00
pvd,04/02/2025,BSI,Mua,29.90
pvd,18/11/2024,VND,Mua,30.90
pvd,22/08/2024,VND,Mua,34.60
pvd,20/05/2024,VND,Giữ,36.80
pvd,04/03/2024,VND,Mua,36.80
nlg,04/02/2025,HSC,Mua,41.20
nlg,13/12/2024,VND,Mua,46.20
nlg,16/08/2024,VND,Mua,45.80
hsg,05/02/2025,HSC,Mua,21.50
hsg,16/01/2025,VND,Giữ,19.10
hsg,19/03/2024,VND,Mua,34.00
dxg,06/02/2025,HSC,Giữ,15.83
dxg,10/01/2025,VND,Giữ,18.30
dxg,10/10/2024,VND,Giữ,17.50
bsi,05/12/2024,SADIF,Mua,57.94
bmp,24/01/2025,HSC,Giữ,134.30
bmp,19/11/2024,VND,Mua,140.00
bmp,30/08/2024,VND,Mua,120.00
bmp,20/05/2024,VND,Mua,126.00
ctd,03/01/2025,VND,Mua,78.90
ctd,11/10/2024,VND,Giữ,69.30
ctd,24/06/2024,VND,Giữ,80.20
pvt,23/01/2025,VDS,Mua,34.60
pvt,17/12/2024,VND,Mua,34.90
pvt,19/09/2024,VND,Mua,33.70
pvt,11/06/2024,VND,Giữ,32.40
pvt,21/03/2024,VND,Mua,33.10
hdg,16/01/2025,VDS,Mua,30.90
hdg,23/10/2024,VND,Mua,34.10
hdg,12/07/2024,VND,Giữ,35.70
hdg,01/03/2024,VND,Mua,33.70
dbc,04/02/2025,BSI,Mua,31.00
bhn,25/11/2024,SADIF,Bán,28.97
cmg,08/01/2025,SADIF,Bán,45.36
szc,10/10/2024,VND,Mua,42.90
szc,03/06/2024,VND,Giữ,42.70
pc1,21/01/2025,VND,Mua,27.10
pc1,08/10/2024,VND,Mua,35.30
pc1,17/06/2024,VND,Mua,34.70
scs,06/02/2025,HSC,Mua,85.00
scs,23/10/2024,VND,Giữ,85.00
scs,07/06/2024,VND,Giữ,95.10
scs,09/04/2024,VND,Mua,95.00
phr,06/02/2025,HSC,Mua,64.50
phr,19/09/2024,VND,Mua,64.30
