symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
vcb,Ngân hàng TMCP Ngoại thương Việt Nam,91.60,0,"947,800","1,488,417","5,589,091,262","511,961",https://www.cophieu68.vn/chart/chart.php?id=vcb
bid,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,40.65,0.65,"4,557,800","2,243,659","6,897,527,439","228,017",https://www.cophieu68.vn/chart/chart.php?id=bid
ctg,Ngân hàng TMCP Công Thương Việt Nam,40.55,-0.30,"5,515,600","7,859,406","5,369,991,748","219,364",https://www.cophieu68.vn/chart/chart.php?id=ctg
fpt,CTCP FPT,144.90,1.80,"3,251,700","4,250,749","1,460,448,066","208,990",https://www.cophieu68.vn/chart/chart.php?id=fpt
tcb,Ngân hàng TMCP Kỹ thương Việt Nam,26,0.05,"10,239,600","11,989,783","7,045,021,622","182,818",https://www.cophieu68.vn/chart/chart.php?id=tcb
vhm,CTCP Vinhomes,38.80,0.05,"4,245,600","9,445,645","4,354,367,488","168,732",https://www.cophieu68.vn/chart/chart.php?id=vhm
hpg,CTCP Tập đoàn Hòa Phát,26.10,0.20,"18,580,600","21,010,444","6,396,250,200","165,663",https://www.cophieu68.vn/chart/chart.php?id=hpg
gas,Tổng Công ty Khí Việt Nam - CTCP,67.70,1,"1,147,200","1,025,967","2,342,674,644","156,256",https://www.cophieu68.vn/chart/chart.php?id=gas
vic,Tập đoàn VINGROUP - CTCP,40.25,0,"996,500","2,601,676","3,823,661,561","153,902",https://www.cophieu68.vn/chart/chart.php?id=vic
vpb,Ngân hàng TMCP Việt Nam Thịnh Vượng,19,0.10,"11,535,000","18,164,882","7,933,923,601","149,951",https://www.cophieu68.vn/chart/chart.php?id=vpb
vnm,CTCP Sữa Việt Nam,60.30,-0.40,"6,401,800","3,603,837","2,089,955,445","126,860",https://www.cophieu68.vn/chart/chart.php?id=vnm
mbb,Ngân hàng TMCP Quân Đội,22.85,-0.05,"8,160,100","15,300,297","6,080,146,660","121,074",https://www.cophieu68.vn/chart/chart.php?id=mbb
gvr,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,30.35,0.90,"5,564,300","3,453,626","4,000,000,000","117,800",https://www.cophieu68.vn/chart/chart.php?id=gvr
acb,Ngân hàng TMCP Á Châu,25.75,0.05,"8,139,200","8,192,075","4,466,657,912","114,793",https://www.cophieu68.vn/chart/chart.php?id=acb
msn,CTCP Tập đoàn Masan,68.10,-0.80,"2,983,400","4,984,090","1,438,351,617","99,102",https://www.cophieu68.vn/chart/chart.php?id=msn
lpb,Ngân hàng TMCP Bưu điện Liên Việt,37.50,-0.20,"2,767,900","3,821,161","2,987,282,100","96,422",https://www.cophieu68.vn/chart/chart.php?id=lpb
mwg,CTCP Đầu tư Thế giới Di động,55.20,0.40,"11,169,000","8,549,525","1,463,709,630","80,198",https://www.cophieu68.vn/chart/chart.php?id=mwg
stb,Ngân hàng TMCP Sài Gòn Thương Tín,38.25,-0.55,"8,007,000","13,242,276","1,885,215,716","73,146",https://www.cophieu68.vn/chart/chart.php?id=stb
bcm,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,70.10,0,"228,600","652,961","1,035,000,000","72,554",https://www.cophieu68.vn/chart/chart.php?id=bcm
sab,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,51.60,-0.10,"668,700","854,779","1,282,562,372","66,308",https://www.cophieu68.vn/chart/chart.php?id=sab
hdb,Ngân hàng TMCP Phát triển TPHCM,22.85,0.15,"8,445,600","8,033,294","3,495,060,732","65,773",https://www.cophieu68.vn/chart/chart.php?id=hdb
hvn,Tổng Công ty Hàng không Việt Nam - CTCP,29.15,1.90,"5,251,200","2,879,996","2,214,394,174","60,342",https://www.cophieu68.vn/chart/chart.php?id=hvn
plx,Tập đoàn Xăng Dầu Việt Nam,42.35,0.35,"2,154,600","1,460,880","1,293,878,081","54,343",https://www.cophieu68.vn/chart/chart.php?id=plx
