Ticker,Date,Broker,Suggestion,Actual Price,Target Price,Percentage Change
vcb,25/11/2024,VND,Mua,91.6,109.6,19.650655021834062
vcb,05/09/2024,VND,Mua,91.6,112.8,23.144104803493455
vcb,25/06/2024,VND,Mua,91.6,111.8,22.052401746724897
vcb,12/04/2024,VND,Mua,91.6,118.7,29.58515283842796
bid,12/12/2024,VND,Giữ,40.65,51.1,25.707257072570734
bid,23/09/2024,VND,Mua,40.65,57.6,41.69741697416975
bid,03/07/2024,VND,Mua,40.65,51.6,26.937269372693734
ctg,21/11/2024,VND,Mua,40.55,39.9,-1.6029593094944476
ctg,20/08/2024,VND,Mua,40.55,39.9,-1.6029593094944476
ctg,15/04/2024,VND,Mua,40.55,39.5,-2.589395807644876
fpt,03/02/2025,HSC,Mua,144.9,160.8,10.973084886128367
fpt,11/12/2024,VND,Mua,144.9,196.6,35.67977915804002
fpt,04/10/2024,VND,Giữ,144.9,145.2,0.2070393374741083
fpt,27/05/2024,VND,Mua,144.9,157.3,8.5576259489303
tcb,06/02/2025,MSGS,Giữ,26.0,30.06,15.615384615384611
tcb,04/12/2024,VND,Mua,26.0,31.1,19.61538461538462
tcb,21/03/2024,VND,Mua,26.0,50.6,94.61538461538463
vhm,18/12/2024,VND,Mua,38.8,48.8,25.773195876288664
vhm,19/09/2024,VND,Mua,38.8,52.7,35.824742268041255
vhm,15/04/2024,VND,Mua,38.8,66.4,71.13402061855673
hpg,05/02/2025,HSC,Mua,26.1,36.8,40.99616858237546
hpg,10/12/2024,VND,Giữ,26.1,29.2,11.877394636015316
hpg,25/09/2024,VND,Mua,26.1,30.0,14.942528735632177
hpg,27/06/2024,VND,Mua,26.1,44.0,68.58237547892719
gas,20/12/2024,VND,Mua,67.7,85.0,25.553914327917276
gas,20/08/2024,VND,Mua,67.7,93.5,38.109305760709006
gas,27/05/2024,VND,Giữ,67.7,84.1,24.224519940915794
gas,07/03/2024,VND,Giữ,67.7,83.5,23.33825701624815
vic,04/02/2025,HSC,Giữ,40.25,42.6,5.83850931677019
vic,22/01/2025,VND,Giữ,40.25,45.6,13.291925465838514
vic,26/08/2024,VND,Giữ,40.25,46.6,15.776397515527954
